"Axeptio Integration","Axeptio-Integration"
"Widget main settings","Widget-Haupteinstellungen"
"Do you want to enable the widget?","Möchten Sie das Widget aktivieren?"
"Configure the information related to the integration of your Axeptio project here.","Konfigurieren Sie hier die Informationen für die Integration Ihres Axeptio-Projekts."
"Project ID","Projekt-ID"
"Configuration","Aufbau"
"Your Axeptio Settings","Ihre Axeptio-Einstellungen"
"Yes, I enable the widget on my website.","Ja, ich aktiviere das Widget auf meiner Webseite."
"No, I do not enable the widget on my website.","Nein, ich aktiviere das Widget auf meiner Website nicht."
"Validate","Bestätigen"
"Please, enter a project ID.","Bitte geben Sie eine Projekt-ID ein."
"The list of projects has been successfully retrieved!","Die Liste der Projekte wurde erfolgreich abgerufen!"
"Dynamic (Axeptio based)","Dynamisch (basierend auf Axeptio)"
"Widget customization","Widget-Anpassung"
"In this section, you can customize the header texts of the Axeptio widget.","In diesem Abschnitt können Sie die Header-Texte des WordPress-Bereichs im Axeptio-Widget anpassen."
"Widget title","Widget Titel"
"Widget sub-title","Untertitel des Widgets"
"Widget description","Widget-Beschreibung"
"Data sending","Datenversand"
"In this section, you can set whether or not you want to let Axeptio collect technical datas","In diesem Abschnitt können Sie festlegen, ob Axeptio technische Daten sammeln darf oder nicht"
"Collect of data and errors by Axeptio","Sammlung von Daten und Fehlern durch Axeptio"
"By checking this box, I do not wish to send data/errors to the Axeptio plugin and do not want to contribute to the improvement of the plugin.","Wenn ich dieses Kästchen markiere, möchte ich keine Daten/Fehler an das Axeptio-Plugin senden und nicht zur Verbesserung des Plugins beitragen."
"How To Integrate Axeptio?","Wie integriere ich Axeptio?"
"Axeptio Account","Axeptio-Konto"
"Don't have a Axeptio account?","Haben Sie kein Axeptio-Konto?"
"You need an Axeptio account to finish the configuration of this module","Sie benötigen ein Axeptio-Konto, um die Konfiguration dieses Moduls abzuschließen"
"I create an account now","Ich erstelle jetzt ein Konto"
"Learn more","Mehr erfahren"
"You have already a Axeptio account?","Haben Sie bereits ein Axeptio-Konto?"
"Go to your personal dashboard to retrieve the project ID you want to use","Gehen Sie zu Ihrem persönlichen Dashboard, um die Projekt-ID abzurufen, die Sie verwenden möchten"
"I login to my account","Ich melde mich in meinem Konto an"
"Default","Standard"
"We were unable to find your project or it appears that it has not yet been published.","Wir konnten Ihr Projekt nicht finden, oder es scheint, dass es noch nicht veröffentlicht wurde."
"If you are sure that your project exists, follow these steps:","Wenn Sie sicher sind, dass Ihr Projekt existiert, gehen Sie bitte wie folgt vor:"
"Go to the Axeptio interface.","Gehen Sie zur Axeptio-Schnittstelle."
"Publish your project.","Veröffentlichen Sie Ihr Projekt."
"Come back here and refresh the configuration.","Kehren Sie hierher zurück und aktualisieren Sie die Konfiguration."
"If the problem persists, please feel free to consult","Sollte das Problem weiterhin bestehen, zögern Sie bitte nicht,"
"our help guide","unsere Hilfe zu konsultieren"
"Please enter an account ID","Bitte geben Sie eine Konto-ID ein"
"Enter your project ID","Geben Sie Ihre Projekt-ID ein"
"Cookie version","Cookie-Version"
"Save configuration","Konfiguration speichern"
